group_name,first_sighted,last_sighted,group_slug,n_members
"DDD Disk Degenerative Disease , Spinal Fusion Surgery and Chronic pain",2021-03-16,2021-03-16,DDDSpineGroup,25000.0
DFW Covid Vaccine Finder,2021-01-15,2021-01-15,dfwcovidvaccinefinder,249.0
"DIY HOME, HEALTH & BEAUTY",2021-03-23,2021-03-23,628995117572358,62.0
DR. OMAR LAZOS - AFTER WEIGHT LOSS & AESTHETIC PLASTIC SURGERY,2021-03-16,2021-03-16,dromarlazos,27000.0
DSPS (Delayed-Sleep-Phase-Syndrome),2021-02-05,2021-02-10,2227764796,4100.0
DVMoms - Practicing and Parenting with a Mental Health Disorder,2021-02-20,2021-02-20,1760276090952379,598.0
Darcie's Sick of COVID and Wants to Party! Color Street Party,2021-03-31,2021-03-31,708082936436133,
Dark Recovery (a lower higher power) ✪,2021-04-15,2021-04-17,415512632644734,744.0
Dawn’s Back2Health VIP group,2021-03-17,2021-03-20,227817448647991,36.0
Deconstruct From Toxic Christianity and Reconstruct a Healthy Faith,2021-04-13,2021-04-16,deconstructfromtoxicchristianity,212.0
Denton Businesses Practicing Covid-19 Prevention,2021-01-09,2021-01-09,631146444447584,750.0
Depression and Anxiety Mental Health Support Group,2021-02-27,2021-03-13,316710102096353,104000.0
"Depression, Anxiety & Mental Health Support Forum",2021-02-27,2021-03-04,2752414714979406,5200.0
Desert Recovery SOS,2021-04-03,2021-04-20,1364367937056286,2600.0
Dialysis & Kidney Disease,2021-02-17,2021-02-26,169168116606702,13000.0
Digital Marketing For Health Professionals,2021-03-28,2021-04-30,predictablepatientflow,1400.0
Ditch The Diets - Live A Healthy Mediterranean Lifestyle!,2021-02-19,2021-02-27,2615974665300825,1100.0
"Divorce 101 - Support, Recovery, Parenting, & Resources",2021-03-17,2021-03-17,Divorce101,3700.0
Do The Thing-Support for all Things Healthy.,2021-04-15,2021-04-16,755021108468028,488.0
DobeHealth,2021-02-27,2021-04-28,253925644755931,10000.0
"Dobermans - Health, Temperament, Structure & Pedigree",2020-12-15,2020-12-15,1355558917844583,1800.0
"Dolls Plastics Surgery  - Dr. Harry, Masri and Berman",2021-03-06,2021-03-06,3278556742240208,3100.0
Dominican Republic Plastic Surgery & Support,2021-03-16,2021-03-16,201003334322369,13000.0
Dornsife School of Public Health - Master's students,2021-03-22,2021-03-22,2917238724977876,133.0
Down Syndrome - Rise. Overcome. Live,2021-04-08,2021-04-08,716489595967078,5.0
Down Syndrome and Autism - A Dual Diagnosis,2021-03-17,2021-03-17,297321423639008,2700.0
"Down Syndrome, Support for Mommies",2021-02-26,2021-03-17,downsyndromemommies,19000.0
Down syndrome & functional medicine,2021-03-22,2021-03-22,778792938911825,
Downshiftology Community - Healthy Gluten-Free Recipes,2021-01-27,2021-02-02,downshiftologycommunity,22000.0
"Dr Fauci, Coronavirus, and related politics discussion group.",2020-12-29,2021-01-18,306963303623214,3400.0
Dr. Alex Zuriarrain Plastic Surgery Group Page,2021-03-16,2021-03-16,928723443955490,3800.0
"Dr. Fauci Fan Page, Coronavirus",2020-12-27,2021-01-06,2856081464479762,8600.0
Dr. Jahangir Kabir's Healthy Lifestyle,2021-02-21,2021-04-02,drjahangirkabir.squad,77000.0
Dr. T's La Mirada Chiropractic COVID-19 Resource Group,2021-03-22,2021-03-22,1408427256030803,82.0
Dr. Wallach Health Support Group and Videos,2021-03-26,2021-03-26,1876805782549808,679.0
Dr.Quinn-Medicine Woman Fans,2021-01-24,2021-01-26,981027241933591,2500.0
Dre's Ways to Stay Healthy & Look Good Naked!,2021-01-20,2021-01-20,formationfitness1,
Drink 2 Shrink w/Coach LaKesha Healthy Living & Fitness,2021-04-01,2021-04-01,drink2shrinkwithcoachlakesha,3600.0
Dry Creek Parents Navigating COVID and the 2020-21 School Year Together,2021-01-06,2021-01-07,915394788948176,86.0
Dupuytren's Disease: Science and Diet,2021-02-27,2021-03-12,771504546330766,2200.0
"Eat Clean, Live Healthy",2021-01-31,2021-01-31,1744799755752541,763.0
Eckhart Tolle Stillness Speaks,2020-12-13,2021-03-22,tollestillnessspeaks,10000.0
Ehlers Danlos Syndrome,2021-02-07,2021-03-16,242161692500269,13000.0
Ehlers Danlos Syndrome Support Group (freely discuss your issues/concerns),2021-03-16,2021-03-16,329755330730805,26000.0
Ehlers-Danlos syndrome 50+,2021-03-16,2021-03-16,352334038265934,461.0
Else Nutrition - Healthy Together,2021-04-15,2021-04-18,elsenutrition,
